00	00	0	0000	0000	     Empty	             Unowned	         Grassland
00	01	0	0000	0000	     Empty	             Unowned	         Grassland
00	02	0	0000	0000	     Empty	             Unowned	         Grassland
00	03	0	0000	0000	     Empty	             Unowned	         Grassland
00	04	0	0000	0000	     Empty	             Unowned	         Grassland
00	05	0	0000	0000	     Empty	             Unowned	         Grassland
00	06	0	0000	0000	     Empty	             Unowned	         Grassland
00	07	0	0000	0000	     Empty	             Unowned	         Grassland
00	08	0	0000	0000	     Empty	             Unowned	         Grassland
00	09	0	0000	0000	     Empty	             Unowned	         Grassland
00	10	0	0000	0000	     Empty	             Unowned	         Grassland
00	11	0	0000	0000	     Empty	             Unowned	         Grassland
00	12	0	0000	0000	     Empty	             Unowned	         Grassland
00	13	0	0000	0000	     Empty	             Unowned	         Grassland
00	14	0	0000	0000	     Empty	             Unowned	         Grassland
00	15	0	0000	0000	     Empty	             Unowned	         Grassland
00	16	0	0000	0000	     Empty	             Unowned	         Grassland
00	17	0	0000	0000	     Empty	             Unowned	         Grassland
00	18	0	0000	0000	     Empty	             Unowned	         Grassland
00	19	0	0000	0000	     Empty	             Unowned	         Grassland
00	20	0	0000	0000	     Empty	             Unowned	         Grassland
00	21	0	0000	0000	     Empty	             Unowned	         Grassland
00	22	0	0000	0000	     Empty	             Unowned	         Grassland
00	23	0	0000	0000	     Empty	             Unowned	         Grassland
00	24	0	0000	0000	     Empty	             Unowned	         Grassland
00	25	0	0000	0000	     Empty	             Unowned	         Grassland
00	26	0	0000	0000	     Empty	             Unowned	         Grassland
00	27	0	0000	0000	     Empty	             Unowned	         Grassland
00	28	0	0000	0000	     Empty	             Unowned	         Grassland
00	29	0	0000	0000	     Empty	             Unowned	         Grassland
01	00	0	0000	0000	     Empty	             Unowned	         Grassland
01	01	0	0000	0000	     Empty	             Unowned	         Grassland
01	02	0	0000	0000	     Empty	             Unowned	         Grassland
01	03	0	0000	0000	     Empty	             Unowned	         Grassland
01	04	0	0000	0000	     Empty	             Unowned	         Grassland
01	05	0	0000	0000	     Empty	             Unowned	         Grassland
01	06	0	0000	0000	     Empty	             Unowned	         Grassland
01	07	0	0000	0000	     Empty	             Unowned	         Grassland
01	08	0	0000	0000	     Empty	             Unowned	         Grassland
01	09	0	0000	0000	     Empty	             Unowned	         Grassland
01	10	0	0000	0000	     Empty	             Unowned	         Grassland
01	11	0	0000	0000	     Empty	             Unowned	         Grassland
01	12	0	0000	0000	     Empty	             Unowned	         Grassland
01	13	0	0000	0000	     Empty	             Unowned	         Grassland
01	14	0	0000	0000	     Empty	             Unowned	         Grassland
01	15	0	0000	0000	     Empty	             Unowned	         Grassland
01	16	0	0000	0000	     Empty	             Unowned	         Grassland
01	17	0	0000	0000	     Empty	             Unowned	         Grassland
01	18	0	0000	0000	     Empty	             Unowned	         Grassland
01	19	0	0000	0000	     Empty	             Unowned	         Grassland
01	20	0	0000	0000	     Empty	             Unowned	         Grassland
01	21	0	0000	0000	     Empty	             Unowned	         Grassland
01	22	0	0000	0000	     Empty	             Unowned	         Grassland
01	23	0	0000	0000	     Empty	             Unowned	         Grassland
01	24	0	0000	0000	     Empty	             Unowned	         Grassland
01	25	0	0000	0000	     Empty	             Unowned	         Grassland
01	26	0	0000	0000	     Empty	             Unowned	         Grassland
01	27	0	0000	0000	     Empty	             Unowned	         Grassland
01	28	0	0000	0000	     Empty	             Unowned	         Grassland
02	00	0	0000	0000	     Empty	             Unowned	         Grassland
02	01	0	0000	0000	     Empty	             Unowned	         Grassland
02	02	0	0000	0000	     Empty	             Unowned	         Grassland
02	03	0	0000	0000	     Empty	             Unowned	         Grassland
02	04	0	0000	0000	     Empty	             Unowned	         Grassland
02	05	0	0000	0000	     Empty	             Unowned	         Grassland
02	06	0	0000	0000	     Empty	             Unowned	         Grassland
02	07	0	0000	0000	     Empty	             Unowned	         Grassland
02	08	0	0000	0000	     Empty	             Unowned	         Grassland
02	09	0	0000	0000	     Empty	             Unowned	         Grassland
02	10	0	0000	0000	     Empty	             Unowned	         Grassland
02	11	0	0000	0000	     Empty	             Unowned	         Grassland
02	12	0	0000	0000	     Empty	             Unowned	         Grassland
02	13	0	0000	0000	     Empty	             Unowned	         Grassland
02	14	0	0000	0000	     Empty	             Unowned	         Grassland
02	15	0	0000	0000	     Empty	             Unowned	         Grassland
02	16	0	0000	0000	     Empty	             Unowned	         Grassland
02	17	0	0000	0000	     Empty	             Unowned	         Grassland
02	18	0	0000	0000	     Empty	             Unowned	         Grassland
02	19	0	0000	0000	     Empty	             Unowned	         Grassland
02	20	0	0000	0000	     Empty	             Unowned	         Grassland
02	21	0	0000	0000	     Empty	             Unowned	         Grassland
02	22	0	0000	0000	     Empty	             Unowned	         Grassland
02	23	0	0000	0000	     Empty	             Unowned	         Grassland
02	24	0	0000	0000	     Empty	             Unowned	         Grassland
02	25	0	0000	0000	     Empty	             Unowned	         Grassland
02	26	0	0000	0000	     Empty	             Unowned	         Grassland
02	27	0	0000	0000	     Empty	             Unowned	         Grassland
02	28	0	0000	0000	     Empty	             Unowned	         Grassland
02	29	0	0000	0000	     Empty	             Unowned	         Grassland
03	00	0	0000	0000	     Empty	             Unowned	         Grassland
03	01	0	0000	0000	     Empty	             Unowned	         Grassland
03	02	0	0000	0000	     Empty	             Unowned	         Grassland
03	03	0	0000	0000	     Empty	             Unowned	         Grassland
03	04	0	0000	0000	     Empty	             Unowned	         Grassland
03	05	0	0000	0000	     Empty	             Unowned	         Grassland
03	06	0	0000	0000	     Empty	             Unowned	         Grassland
03	07	0	0000	0000	     Empty	             Unowned	         Grassland
03	08	0	0000	0000	     Empty	             Unowned	         Grassland
03	09	0	0000	0000	     Empty	             Unowned	         Grassland
03	10	0	0000	0000	     Empty	             Unowned	         Grassland
03	11	0	0000	0000	     Empty	             Unowned	         Grassland
03	12	0	0000	0000	     Empty	             Unowned	         Grassland
03	13	0	0000	0000	     Empty	             Unowned	         Grassland
03	14	0	0000	0000	     Empty	             Unowned	         Grassland
03	15	0	0000	0000	     Empty	             Unowned	         Grassland
03	16	0	0000	0000	     Empty	             Unowned	         Grassland
03	17	0	0000	0000	     Empty	             Unowned	         Grassland
03	18	0	0000	0000	     Empty	             Unowned	         Grassland
03	19	0	0000	0000	     Empty	             Unowned	         Grassland
03	20	0	0000	0000	     Empty	             Unowned	         Grassland
03	21	0	0000	0000	     Empty	             Unowned	         Grassland
03	22	0	0000	0000	     Empty	             Unowned	         Grassland
03	23	0	0000	0000	     Empty	             Unowned	         Grassland
03	24	0	0000	0000	     Empty	             Unowned	         Grassland
03	25	0	0000	0000	     Empty	             Unowned	         Grassland
03	26	0	0000	0000	     Empty	             Unowned	         Grassland
03	27	0	0000	0000	     Empty	             Unowned	         Grassland
03	28	0	0000	0000	     Empty	             Unowned	         Grassland
04	00	0	0000	0000	     Empty	             Unowned	         Grassland
04	01	0	0000	0000	     Empty	             Unowned	         Grassland
04	02	0	0000	0000	     Empty	             Unowned	         Grassland
04	03	0	0000	0000	     Empty	             Unowned	         Grassland
04	04	0	0000	0000	     Empty	             Unowned	         Grassland
04	05	0	0000	0000	     Empty	             Unowned	         Grassland
04	06	0	0000	0000	     Empty	             Unowned	         Grassland
04	07	0	0000	0000	     Empty	             Unowned	         Grassland
04	08	0	0000	0000	     Empty	             Unowned	         Grassland
04	09	0	0000	0000	     Empty	             Unowned	         Grassland
04	10	0	0000	0000	     Empty	             Unowned	         Grassland
04	11	0	0000	0000	     Empty	             Unowned	         Grassland
04	12	0	0000	0000	     Empty	             Unowned	         Grassland
04	13	0	0000	0000	     Empty	             Unowned	         Grassland
04	14	0	0000	0000	     Empty	             Unowned	         Grassland
04	15	0	0000	0000	     Empty	             Unowned	         Grassland
04	16	0	0000	0000	     Empty	             Unowned	         Grassland
04	17	0	0000	0000	     Empty	             Unowned	         Grassland
04	18	0	0000	0000	     Empty	             Unowned	         Grassland
04	19	0	0000	0000	     Empty	             Unowned	         Grassland
04	20	0	0000	0000	     Empty	             Unowned	         Grassland
04	21	0	0000	0000	     Empty	             Unowned	         Grassland
04	22	0	0000	0000	     Empty	             Unowned	         Grassland
04	23	0	0000	0000	     Empty	             Unowned	         Grassland
04	24	0	0000	0000	     Empty	             Unowned	         Grassland
04	25	0	0000	0000	     Empty	             Unowned	         Grassland
04	26	0	0000	0000	     Empty	             Unowned	         Grassland
04	27	0	0000	0000	     Empty	             Unowned	         Grassland
04	28	0	0000	0000	     Empty	             Unowned	         Grassland
04	29	0	0000	0000	     Empty	             Unowned	         Grassland
05	00	0	0000	0000	     Empty	             Unowned	         Grassland
05	01	0	0000	0000	     Empty	             Unowned	         Grassland
05	02	0	0000	0000	     Empty	             Unowned	         Grassland
05	03	0	0000	0000	     Empty	             Unowned	         Grassland
05	04	0	0000	0000	     Empty	             Unowned	         Grassland
05	05	0	0000	0000	     Empty	             Unowned	         Grassland
05	06	0	0000	0000	     Empty	             Unowned	         Grassland
05	07	0	0000	0000	     Empty	             Unowned	         Grassland
05	08	0	0000	0000	     Empty	             Unowned	         Grassland
05	09	0	0000	0000	     Empty	             Unowned	         Grassland
05	10	0	0000	0000	     Empty	             Unowned	         Grassland
05	11	0	0000	0000	     Empty	             Unowned	         Grassland
05	12	0	0000	0000	     Empty	             Unowned	         Grassland
05	13	0	0000	0000	     Empty	             Unowned	         Grassland
05	14	0	0000	0000	     Empty	             Unowned	         Grassland
05	15	0	0000	0000	     Empty	             Unowned	         Grassland
05	16	0	0000	0000	     Empty	             Unowned	         Grassland
05	17	0	0000	0000	     Empty	             Unowned	         Grassland
05	18	0	0000	0000	     Empty	             Unowned	         Grassland
05	19	0	0000	0000	     Empty	             Unowned	         Grassland
05	20	0	0000	0000	     Empty	             Unowned	         Grassland
05	21	0	0000	0000	     Empty	             Unowned	         Grassland
05	22	0	0000	0000	     Empty	             Unowned	         Grassland
05	23	0	0000	0000	     Empty	             Unowned	         Grassland
05	24	0	0000	0000	     Empty	             Unowned	         Grassland
05	25	0	0000	0000	     Empty	             Unowned	         Grassland
05	26	0	0000	0000	     Empty	             Unowned	         Grassland
05	27	0	0000	0000	     Empty	             Unowned	         Grassland
05	28	0	0000	0000	     Empty	             Unowned	         Grassland
06	00	0	0000	0000	     Empty	             Unowned	         Grassland
06	01	0	0000	0000	     Empty	             Unowned	         Grassland
06	02	0	0000	0000	     Empty	             Unowned	         Grassland
06	03	0	0000	0000	     Empty	             Unowned	         Grassland
06	04	0	0000	0000	     Empty	             Unowned	         Grassland
06	05	0	0000	0000	     Empty	             Unowned	         Grassland
06	06	0	0000	0000	     Empty	             Unowned	         Grassland
06	07	0	0000	0000	     Empty	             Unowned	         Grassland
06	08	0	0000	0000	     Empty	             Unowned	         Grassland
06	09	0	0000	0000	     Empty	             Unowned	         Grassland
06	10	0	0000	0000	     Empty	             Unowned	         Grassland
06	11	0	0000	0000	     Empty	             Unowned	         Grassland
06	12	0	0000	0000	     Empty	             Unowned	         Grassland
06	13	0	0000	0000	     Empty	             Unowned	         Grassland
06	14	0	0000	0000	     Empty	             Unowned	         Grassland
06	15	0	0000	0000	     Empty	             Unowned	         Grassland
06	16	0	0000	0000	     Empty	             Unowned	         Grassland
06	17	0	0000	0000	     Empty	             Unowned	         Grassland
06	18	0	0000	0000	     Empty	             Unowned	         Grassland
06	19	0	0000	0000	     Empty	             Unowned	         Grassland
06	20	0	0000	0000	     Empty	             Unowned	         Grassland
06	21	0	0000	0000	     Empty	             Unowned	         Grassland
06	22	0	0000	0000	     Empty	             Unowned	         Grassland
06	23	0	0000	0000	     Empty	             Unowned	         Grassland
06	24	0	0000	0000	     Empty	             Unowned	         Grassland
